,movie_title,year,place,star_cast,rating,vote,link
177, El tercer hombre,1949,178,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.089728532523038,,/title/tt0041959/
178, Harry Potter y las Reliquias de la Muerte - Parte 2,2011,179,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.089448246367093,,/title/tt1201607/
179, Perdida,2014,180,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.086310614430275,,/title/tt2267998/
180, Ben-Hur,1959,181,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.085785575165085,,/title/tt0052618/
181, 12 años de esclavitud,2013,182,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.08530454139606,,/title/tt2024544/
182, El maquinista de La General,1926,183,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.084569752133792,,/title/tt0017925/
183, El cazador,1978,184,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.08382684492514,,/title/tt0077416/
184, Fresas salvajes,1957,185,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.081848058375122,,/title/tt0050986/
185, Antes de amanecer,1995,186,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.081038730930933,,/title/tt0112471/
186, Pather Panchali (La canción del camino),La canción del camino,187,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.080975953596097,,/title/tt0048473/
187, En el nombre del padre,1993,188,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.080557974034042,,/title/tt0107207/
188, Caballero sin espada,1939,189,"Frank Capra (dir.), James Stewart, Jean Arthur",8.07830488572852,,/title/tt0031679/
189, El gran hotel Budapest,2014,190,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.07789975770559,,/title/tt2278388/
190, La habitación,2015,191,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.07788009041888,,/title/tt3170832/
191, El moderno Sherlock Holmes,1924,192,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.075814942672132,,/title/tt0015324/
192, Hasta el último hombre,2016,193,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.075117848978731,,/title/tt2119532/
193, Cómo entrenar a tu dragón,2010,194,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.07479373104765,,/title/tt0892769/
194, El salario del miedo,1953,195,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.074621716991686,,/title/tt0046268/
195, Memories of Murder (Crónica de un asesino en serie),Crónica de un asesino en serie,196,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",8.07416192574915,,/title/tt0353969/
196, El séptimo sello,1957,197,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.073636764626702,,/title/tt0050976/
